form_id,move_id,version_group_id,learn_method_id,level_learned_at,move_order
1,razor-wind,3,2,0,1
1,razor-wind,4,2,0,1
1,swords-dance,1,4,0,2
1,swords-dance,2,4,0,2
1,swords-dance,6,3,0,2
1,swords-dance,7,3,0,2
1,swords-dance,8,4,0,2
1,swords-dance,9,4,0,2
1,swords-dance,10,4,0,2
1,swords-dance,11,4,0,2
1,swords-dance,14,4,0,2
1,swords-dance,15,4,0,2
1,swords-dance,16,4,0,2
1,swords-dance,17,4,0,2
1,swords-dance,18,4,0,2
1,swords-dance,20,4,0,2
1,swords-dance,23,4,0,2
1,swords-dance,25,4,0,2
1,swords-dance,28,4,0,2
1,swords-dance,29,4,0,2
1,cut,1,4,0,3
1,cut,2,4,0,3
1,cut,3,4,0,3
1,cut,4,4,0,3
1,cut,5,4,0,3
1,cut,6,4,0,3
1,cut,7,4,0,3
1,cut,8,4,0,3
1,cut,9,4,0,3
1,cut,10,4,0,3
1,cut,11,4,0,3
1,cut,12,4,0,3
1,cut,13,4,0,3
1,cut,14,4,0,3
1,cut,15,4,0,3
1,cut,16,4,0,3
1,cut,23,4,0,3
1,cut,28,4,0,3
1,cut,29,4,0,3
1,bind,14,3,0,4
1,bind,16,3,0,4
1,bind,18,3,0,4
1,vine-whip,1,1,13,5
1,vine-whip,2,1,13,5
1,vine-whip,3,1,10,5
1,vine-whip,4,1,10,5
1,vine-whip,5,1,10,5
1,vine-whip,6,1,10,5
1,vine-whip,7,1,10,5
1,vine-whip,8,1,9,5
1,vine-whip,9,1,9,5
1,vine-whip,10,1,9,5
1,vine-whip,11,1,9,5
1,vine-whip,12,1,10,5
1,vine-whip,13,1,10,5
1,vine-whip,14,1,9,5
1,vine-whip,15,1,9,5
1,vine-whip,16,1,9,5
1,vine-whip,17,1,7,5
1,vine-whip,17,1,9,5
1,vine-whip,18,1,9,5
1,vine-whip,19,1,5,5
1,vine-whip,20,1,3,5
1,vine-whip,23,1,3,5
1,vine-whip,25,1,3,5
1,vine-whip,28,1,13,5
